"nume_tara","cod_tara","exporturi","exporturi (%pib)","pib","pib/nr_loc","economie_interna (%pib)","consum_intern (%pib)","investitii_publice (%pib)","inflatie_consum","investitii_straini (%pib)","urbanizare"
"Afghanistan","AFG",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,22.1337350125,42.1708146,5.001720395,5.3681,5.57572836566667
"Albania","ALB",9104536292,39.62339601,22977677861,8367.775731,13.4444591,17.75911608,44.91489468,4.553082811,5.3681,5.004166667
"Algeria","DZA",60376754380,25.16752082,2.39899e+11,5260.20625,39.969835204,41.2259377,21.02837305,-2.258254272,5.3681,6.25
"American Samoa","ASM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,37.54353083,42.1708146,5.001720395,5.3681,7.51413915666667
"Andorra","AND",26970668446.5,39.146212095,3727673593,57712.1210299999,21.18721359,33.86112396,42.1708146,5.859905503,5.3681,8.77827831333333
"Angola","AGO",33781308111,39.8726733,84722957642,2309.52162,39.969835204,30.17871709,26.66147599,26.77868896,5.3681,10.04241747
"Antigua and Barbuda","ATG",26970668446.5,39.146212095,2033085185,21560.21533,21.18721359,22.65007203,42.1708146,4.805475773,5.3681,5.337422
"Argentina","ARG",82760724362,12.948574106,1.835396e+12,13730.51471,17.04993202,15.12142697,19.888063454,26.77868896,6.139,0.897421188
"Armenia","ARM",14086972330,58.18145547,24212134631,8715.765336,20.64928462,19.17896607,58.86150499,2.83212316,5.31533333333333,4.022573807
"Aruba","ABW",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,21.995369415,42.1708146,5.001720395,4.49166666666667,4.34491048
"Australia","AUS",682133600000,26.72198648,1.835396e+12,57712.1210299999,29.02756022,24.81177276,21.36069104,6.557375685,3.668,4.667247153
"Austria","AUT",682133600000,59.47718589,1.835396e+12,57712.1210299999,27.94790742,27.05366709,56.64198122,7.60697137,5.264,4.989583826
"Azerbaijan","AZE",35487352941,49.04536789,72356176471,7155.083604,39.969835204,29.81595953,34.57398246,-7.3713722488,6.9535,5.311920499
"Bahamas, The","BHS",5.699e+09,39.74613802,14338500000,34749.63829,19.5850333,31.51209298,42.95846846,6.344420145,8.643,3.711666667
"Bahrain","BHR",26970668446.5,39.146212095,4.3205e+10,29084.30713,21.18721359,33.20822643,42.1708146,-7.3713722488,7.3475,2.381666667
"Bangladesh","BGD",57551451741,12.948574106,4.37415e+11,2529.080127,25.75951408,34.90435988,17.82580758,6.89712404,6.052,1.051666667
"Barbados","BRB",26970668446.5,39.146212095,6393564190,22672.61544,21.18721359,30.01383741,42.1708146,4.735828043,4.7565,3.080842809
"Belarus","BLR",48014398058,85.160753714,71857382746,7829.053137,27.20042499,25.12331494,66.17977856,7.368230536,3.461,5.110018951
"Belgium","BEL",682133600000,85.160753714,1.835396e+12,57712.1210299999,24.39571889,25.20699658,86.567204206,4.079874107,5.528,5.7325094755
"Belize","BLZ",1759500000,53.6187719,3281500000,7987.585955,27.06079537,27.61142959,52.85692519,10.89674793,4.9275,6.355
"Benin","BEN",4169448538,21.19345399,19673284686,1434.662834,39.969835204,24.079718325,30.15701102,3.385464352,4.327,7.07666666666667
"Bermuda","BMU",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,20.54800706,42.1708146,5.001720395,3.7265,7.79833333333333
"Bhutan","BTN",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,17.016295795,42.1708146,5.001720395,3.126,8.52
"Bolivia","BOL",12507893618,27.28012912,45849832906,3700.978338,13.11118716,13.48458453,31.56913918,1.699553215,3.024,5.46436066
"Bosnia and Herzegovina","BIH",11939049957,44.12899198,27054889363,8426.09111,0.324250881200001,18.15246839,56.89710957,5.530501969,10.668,2.936145228
"Botswana","BWA",6141387614,31.6635491,19395765126,7249.799326,28.1114262,34.48093249,35.71008683,2.125860244,11.1512,4.753325926
"Brazil","BRA",682133600000,18.11027942,1.835396e+12,10043.62392,18.4525996,15.58974482,15.74366717,4.658994759,7.947,15.665681064
"British Virgin Islands","VGB",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,30.776068065,42.1708146,5.001720395,6.6215,15.665681064
"Brunei Darussalam","BRN",11578413348,85.160753714,15128292954,33430.91848,39.969835204,36.017892276,60.02817372,-7.3713722488,5.296,5.307729167
"Bulgaria","BGR",61847387271,60.88276999,1.01584e+11,15797.59558,22.01543135,20.11737728,57.71731775,7.510536602,4.319,4.335875
"Burkina Faso","BFA",5864783349,28.85556519,20324617839,874.1212804,15.44611371,15.562212435,35.96003097,1.998045499,5.348,5.14670699733333
"Burundi","BDI",139067146.4,12.948574106,2642161669,199.5807602,0.324250881200001,11.00704759,24.32986266,11.37603149,5.3614,5.95753899466667
"Cabo Verde","CPV",1027691033,39.72133377,2587252076,4321.579864,0.324250881200001,20.80083589,54.14383739,3.857299077,5.3748,6.768370992
"Cambodia","KHM",23241423029,85.160753714,31772759999,1875.071482,39.969835204,36.017892276,40.38951118,2.384060721,5.3882,6.33299643733333
"Cameroon","CMR",8774028347,18.3,47945510090,1673.648889,15.4,39.469085455,20.3,2.726009551,5.4016,5.89762188266667
"Canada","CAN",682133600000,33.53640807,1.835396e+12,57712.1210299999,23.54430029,21.84062202,33.92683079,1.60524181,5.415,5.462247328
"Cayman Islands","CYM",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,21.340137414,42.1708146,5.001720395,6.1346,5.02687277333333
"Central African Republic","CAF",369034170.8,14.44082621,2555492085,445.028196,0.324250881200001,20.839652808,29.039744,3.39995299,6.8542,4.59149821866667
"Chad","TCD",5720536634,43.50441166,13149325359,719.3848752,21.18721359,20.339168202,48.07266963,-0.936604165,7.5738,4.156123664
"Channel Islands","CHI",26970668446.5,39.146212095,47061843716,7249.799326,21.18721359,19.838683596,42.1708146,5.001720395,8.2934,3.72074910933333
"Chile","CHL",682133600000,31.13673653,3.35533e+11,17093.24197,24.26017038,19.33819899,29.83035747,6.599512046,9.013,3.28537455466667
