Country Name,Country Code,Series Name,2023 [YR2023]
Afghanistan,AFG,Exports of goods and services (current US$),..
Afghanistan,AFG,Exports of goods and services (% of GDP),..
Afghanistan,AFG,GDP (current US$),..
Afghanistan,AFG,GDP per capita (current US$),..
Afghanistan,AFG,Gross domestic savings (% of GDP),..
Afghanistan,AFG,Gross savings (% of GDP),..
Afghanistan,AFG,Imports of goods and services (% of GDP),..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",..
Afghanistan,AFG,Tax revenue (% of GDP),..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",..
Afghanistan,AFG,"Life expectancy at birth, total (years)",..
Afghanistan,AFG,"Interest rate spread (lending rate minus deposit rate, %)",..
Afghanistan,AFG,Taxes on exports (% of tax revenue),..
Afghanistan,AFG,"Taxes on income, profits and capital gains (% of revenue)",..
Afghanistan,AFG,"Revenue, excluding grants (% of GDP)",..
Afghanistan,AFG,Social contributions (% of revenue),..
Afghanistan,AFG,Interest payments (% of revenue),..
Albania,ALB,Exports of goods and services (current US$),9104536292
Albania,ALB,Exports of goods and services (% of GDP),39.62339601
Albania,ALB,GDP (current US$),22977677861
Albania,ALB,GDP per capita (current US$),8367.775731
Albania,ALB,Gross domestic savings (% of GDP),13.4444591
Albania,ALB,Gross savings (% of GDP),17.75911608
Albania,ALB,Imports of goods and services (% of GDP),44.91489468
Albania,ALB,"Inflation, GDP deflator (annual %)",4.553082811
Albania,ALB,Tax revenue (% of GDP),..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",..
Albania,ALB,"Life expectancy at birth, total (years)",..
Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",5.004166667
Albania,ALB,Taxes on exports (% of tax revenue),..
Albania,ALB,"Taxes on income, profits and capital gains (% of revenue)",..
Albania,ALB,"Revenue, excluding grants (% of GDP)",..
Albania,ALB,Social contributions (% of revenue),..
Albania,ALB,Interest payments (% of revenue),..
Algeria,DZA,Exports of goods and services (current US$),60376754380
Algeria,DZA,Exports of goods and services (% of GDP),25.16752082
Algeria,DZA,GDP (current US$),2.39899E+11
Algeria,DZA,GDP per capita (current US$),5260.20625
Algeria,DZA,Gross domestic savings (% of GDP),41.87642996
Algeria,DZA,Gross savings (% of GDP),41.2259377
Algeria,DZA,Imports of goods and services (% of GDP),21.02837305
Algeria,DZA,"Inflation, GDP deflator (annual %)",-2.258254272
